invoice_id,deal_id,invoice_type,invoice_date,invoice_due_date,paid_date,invoice_status,dunning_status,invoice_amount,delay_in_days,delay_bool,invoice_month,due_day,customer_id,deal_term,deal_monthly_amount,deal_signed_date,deal_deposit_amount,schufa_score,postal_code,date_of_birth,loyalty_status,schufa_group,deposit,deal_term_group,deal_monthly_amount_group,invoice_amount_group,age,age_group,due_day_group
in_1O7T8CHfRoBp5g8KbZ78tvGE,11647074069,monthly,2023-11-01,2023-11-08,2023-11-01,paid,,429.0,-7.0,False,11,8,368531057.0,12,429.0,10/01/2023,0.0,9924.0,10829.0,1981-05-22,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,42.0,40-49,8-12
in_1O7T8IHfRoBp5g8K8Sbuhgu1,10880089164,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,449.0,-5.0,False,11,8,329188251.0,12,449.0,10/11/2022,0.0,9975.0,83209.0,1965-04-13,silver,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,58.0,50-59,8-12
in_1O7T9dHfRoBp5g8KfbbwIM7Y,11907079542,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,1177.2,-5.0,False,11,8,53902701.0,12,1177.2,30/01/2023,0.0,9523.0,50374.0,1992-05-17,platinum,"9,500 - 9,749",False,7 - 12,"1,000 - 1,499","1,000 - 1,499",31.0,30-39,8-12
in_1O7T9fHfRoBp5g8K07n2xVtH,12384728505,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,436.05,-5.0,False,11,8,209787651.0,12,436.05,06/03/2023,0.0,,,1964-08-19,gold,,False,7 - 12,0 - 499,0 - 499,59.0,50-59,8-12
in_1O7TA3DOkQuZ6Q4Mh6nudOLc,11727837765,monthly,2023-11-01,2023-11-08,2023-11-01,paid,,678.0,-7.0,False,11,8,376999051.0,13,678.0,17/01/2023,0.0,,,1976-10-18,gold,,False,13 - 18,500 - 999,500 - 999,47.0,40-49,8-12
in_1O7TAADOkQuZ6Q4Muvp2wqCJ,10893353571,monthly,2023-11-01,2023-11-08,2023-11-01,paid,,459.0,-7.0,False,11,8,311450851.0,12,459.0,11/11/2022,0.0,9797.0,81377.0,1988-06-23,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,35.0,30-39,8-12
in_1O7TAEDOkQuZ6Q4MYjC9oDBi,8980140384,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,199.0,-5.0,False,11,8,87729251.0,13,360.05,22/05/2022,0.0,9944.0,85051.0,1980-10-21,silver,"9,750 - 10000",False,13 - 18,0 - 499,0 - 499,43.0,40-49,8-12
in_1O7TAJDOkQuZ6Q4MY7iPhAkO,11568444804,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,349.0,-5.0,False,11,8,306639952.0,18,349.0,03/01/2023,0.0,9981.0,90584.0,1963-04-06,gold,"9,750 - 10000",False,13 - 18,0 - 499,0 - 499,60.0,60-69,8-12
in_1O7TAaDOkQuZ6Q4Mxt94E5lA,14647668543,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,379.0,-5.0,False,11,8,478358051.0,12,379.0,16/08/2023,0.0,9782.0,66333.0,1968-07-31,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,55.0,50-59,8-12
in_1O7aneHfRoBp5g8Kn7fFjOKe,10309507128,final,2023-11-01,2023-12-01,2023-11-01,paid,,1264.26,-30.0,False,11,1,297988251.0,12,699.0,25/09/2022,0.0,9410.0,85579.0,1996-07-16,gold,"9,250 - 9,499",False,7 - 12,500 - 999,"1,000 - 1,499",27.0,20-29,1-2
